promptID,promptText,completion,changes,comments,open1,open2
43591ff7fff4ef5ea02dff9424b4c27b,"A covered entity may use or disclose protected health information, provided that the individual is informed in advance of the use or disclosure and has the opportunity to agree to or prohibit or restrict the use or disclosure, in accordance with the applicable requirements of this section.","If a covered entity is using or disclosing protected health information, then the individual must be informed in advance.",,,,
43591ff7fff4ef5ea02dff9424b4c27b,"A covered entity may use or disclose protected health information, provided that the individual is informed in advance of the use or disclosure and has the opportunity to agree to or prohibit or restrict the use or disclosure, in accordance with the applicable requirements of this section.","If the individual agrees to the use or disclosure, then it must be done in accordance with the applicable requirements of this section.",,,,
43591ff7fff4ef5ea02dff9424b4c27b,"A covered entity may use or disclose protected health information, provided that the individual is informed in advance of the use or disclosure and has the opportunity to agree to or prohibit or restrict the use or disclosure, in accordance with the applicable requirements of this section.","If the individual prohibits or restricts the use or disclosure, then it must also be done in accordance with the applicable requirements of this section.",,,,
1300220be8f617c90235232453c14ed0,The covered entity may orally inform the individual of and obtain the individual's oral agreement or objection to a use or disclosure permitted by this section.,"If a covered entity wishes to use or disclose an individual's information, then they must orally inform the individual.",,,,
1300220be8f617c90235232453c14ed0,The covered entity may orally inform the individual of and obtain the individual's oral agreement or objection to a use or disclosure permitted by this section.,"If the individual agrees to the use or disclosure, then the covered entity may proceed.",,,,
1300220be8f617c90235232453c14ed0,The covered entity may orally inform the individual of and obtain the individual's oral agreement or objection to a use or disclosure permitted by this section.,"If the individual objects to the use or disclosure, then the covered entity must cease their action.",,,,
0fbdc8b5551faff905e6ae9ed4fc55c4,(a) Standard: Use and disclosure for facility directories—(1) Permitted uses and disclosure.,A covered health care provider may use or disclose the protected health information of an individual for the purpose of creating and maintaining a directory of individuals treated at the facility.,,,,
0fbdc8b5551faff905e6ae9ed4fc55c4,(a) Standard: Use and disclosure for facility directories—(1) Permitted uses and disclosure.,"If a covered health care provider is creating and maintaining a directory of individuals treated at the facility, then they may use or disclose the protected health information of an individual.",,,,
77381fcc269159dd5e87793d35c03ba3,"Except when an objection is expressed in accordance with paragraphs (a)(2) or (3) of this section, a covered health care provider may:","If a covered health care provider does not express an objection in accordance with paragraphs (a)(2) or (3) of this section, then they may:",,,,
4f44e41f63fcee19121ac05b2fd04a24,(i) Use the following protected health information to maintain a directory of individuals in its facility:,(A) name; (B) location; (C) general condition; and (D) religious affiliation.,,,,
4f44e41f63fcee19121ac05b2fd04a24,(i) Use the following protected health information to maintain a directory of individuals in its facility:,"If the facility maintains a directory of individuals, then it must use the following protected health information: (A) name; (B) location; (C) general condition; (D) religious affiliation.",,,,
9775ff4ebe44f503ef53b401c37ae64c,(A) The individual's name;,(B) the individual's date of birth; (C) the individual's social security number.,,,,
