SECTNO,CFRSubject,Original_sentence,Matched_Label,Matched_Text
1.301,Policy.,"Subject to the authorities in paragraph (c) below and other statutory authority, an agency head may issue or authorize the issuance of agency acquisition regulations that implement or supplement the FAR and incorporate, together with the FAR, agency policies, procedures, contract clauses, solicitation provisions, and forms that govern the contracting process or otherwise control the relationship between the agency, including any of its suborganizations, and contractors or prospective contractors.",permissions_noun_pron_deontic_verb,head may issue
1.301,Policy.,"(2) Subject to the authorities in (c) below and other statutory authority, an agency head may issue or authorize the issuance of internal agency guidance at any organizational level (e.g., designations and delegations of authority, assignments of responsibilities, work-flow procedures, and internal reporting requirements).",permissions_noun_pron_deontic_verb,head may issue
1.301,Policy.,"(d) Agency acquisition regulations implementing or supplementing the FAR are, for— (1) The military departments and defense agencies, issued subject to the authority of the Secretary of Defense; (2) NASA activities, issued subject to the authorities of the Administrator of NASA; and (3) The civilian agencies other than NASA, issued by the heads of those agencies subject to the overall authority of the Administrator of General Services or independent authority the agency may have.",permissions_noun_pron_deontic_verb,agency may have
1.304,Agency control and compliance procedures.,(c) Agencies shall evaluate all regulatory coverage in agency acquisition regulations to determine if it could apply to other agencies.,permissions_noun_pron_deontic_verb,it could apply
1.404,Class deviations.,"Authorization of class deviations by agency officials is subject to the following limitations: (1) An agency official who may authorize a class deviation, before doing so, shall consult with the chairperson of the Civilian Agency Acquisition Council (CAA Council), unless that agency official determines that urgency precludes such consultation.",permissions_noun_pron_deontic_verb,who may authorize
1.601,General.,The agency head may establish contracting activities and delegate broad authority to manage the agency's contracting functions to heads of such contracting activities.,permissions_noun_pron_deontic_verb,head may establish
1.602-1,Authority.,Contracting officers may bind the Government only to the extent of the authority delegated to them.,permissions_noun_pron_deontic_verb,officers may bind
1.603-1,General.,Agency heads or their designees may select and appoint contracting officers and terminate their appointments.,permissions_noun_pron_deontic_verb,designees may select
1.703,Class determinations and findings.,A class may consist of contract actions for the same or related supplies or services or other contract actions that require essentially identical justification.,permissions_noun_pron_deontic_verb,class may consist
2.101,Definitions.=,"In rendering the foregoing services, outputs may take the form of information, advice, opinions, alternatives, analyses, evaluations, recommendations, training and the day-to-day aid of support personnel needed for the successful performance of ongoing Federal operations.",permissions_noun_pron_deontic_verb,outputs may take
2.101,Definitions.=,"They also include, but are not limited to, such factors as— (1) Vendor quotations; (2) Nonrecurring costs; (3) Information on changes in production methods and in production or purchasing volume; (4) Data supporting projections of business prospects and objectives and related operations costs; (5) Unit-cost trends such as those associated with labor efficiency; (6) Make-or-buy decisions; (7) Estimated resources to attain business goals; and (8) Information on management decisions that could have a significant bearing on costs.",permissions_noun_pron_deontic_verb,that could have
2.101,Definitions.=,"Such data may include the identical types of data as certified cost or pricing data, consistent with Table 15-2 of 15.408, but without the certification.",permissions_noun_pron_deontic_verb,data may include
2.101,Definitions.=,"This comparison may consider raw materials acquisition, production, manufacturing, packaging, distribution, reuse, operation, maintenance, or disposal of the product or service.",permissions_noun_pron_deontic_verb,comparison may consider
